title,channel,view_count,duration,duration_minutes,channel_follower_count,primary_genre,success_category,view_efficiency,duration_category
ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,2009014557,173,2.8833333333333333,19200000,pop,Viral,104.63617484375,Short (<3min)
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",Lady Gaga,1324833300,252,4.2,29600000,pop,Viral,44.75788175675676,Long (4-5min)
Reneé Rapp - Leave Me Alone (Official Music Video),Reneé Rapp,2536628,160,2.6666666666666665,408000,pop,Low,6.217225490196078,Short (<3min)
Billie Eilish - BIRDS OF A FEATHER (Official Music Video),Billie Eilish,558329099,231,3.85,56800000,alternative,Viral,9.829737658450703,Medium (3-4min)
Reneé Rapp - Mad (Official Music Video),Reneé Rapp,2113548,180,3.0,408000,pop,Low,5.180264705882353,Short (<3min)
Sabrina Carpenter - Espresso,Sabrina Carpenter,472570966,201,3.35,12300000,pop,Viral,38.4204037398374,Medium (3-4min)
Lady Gaga - Abracadabra (Official Music Video),Lady Gaga,191073418,269,4.483333333333333,29600000,pop,Viral,6.455183040540541,Long (4-5min)
Ed Sheeran - Sapphire (Official Music Video),Ed Sheeran,184696317,183,3.05,58500000,other,Viral,3.157202,Medium (3-4min)
yung kai - blue (official music video),yung kai,187281056,221,3.683333333333333,1220000,pop,Viral,153.50906229508197,Medium (3-4min)
Billie Eilish - WILDFLOWER (BILLIE BY FINNEAS),Billie Eilish,40408980,261,4.35,56800000,alternative,High,0.7114257042253521,Long (4-5min)
Zillionaire Doe - How It's Going (Official Video),Zillionaire Doe ,1198540,152,2.533333333333333,142000,unknown,Low,8.440422535211267,Short (<3min)
Alex Warren - Ordinary (Official Video),Alex Warren,147871443,187,3.1166666666666667,4050000,unknown,Viral,36.51146740740741,Medium (3-4min)
Kendrick Lamar - luther (Official Audio),Kendrick Lamar,142084039,178,2.966666666666667,19700000,unknown,Viral,7.212387766497462,Short (<3min)
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],Shaboozey,288277902,173,2.8833333333333333,955000,country,Viral,301.861677486911,Short (<3min)
Kendrick Lamar - Not Like Us,Kendrick Lamar,397228595,354,5.9,19700000,hip hop,Viral,20.16388807106599,Very Long (>5min)
